="2nd Stage | i=1 | X: DRobot_exp_all1995 | IV: SG_DRobot_exp_all1995 | Group: depvars"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_all1995",="0.009***",="0.001",="0.003"
="",="(0.002)",="(0.004)",="(0.004)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="19.934",="19.934",="19.934"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=1 | X: DRobot_exp_all1995 | IV: SG_DRobot_exp_all1995 | Group: depvars_dif"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_all1995",="0.018***",="-0.040***",="-0.032***"
="",="(0.003)",="(0.010)",="(0.010)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="19.934",="19.934",="19.934"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=1 | X: DRobot_exp_all1995 | IV: SG_DRobot_exp_all1995 | Group: depvars_longdif"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_all1995",="0.009***",="0.001",="0.003"
="",="(0.002)",="(0.004)",="(0.004)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="19.934",="19.934",="19.934"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=2 | X: DRobot_exp_all1995 | IV: Z_DRobot_exp_all1995 | Group: depvars"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_all1995",="0.008***",="-0.012***",="-0.010***"
="",="(0.002)",="(0.003)",="(0.003)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="14.935",="14.935",="14.935"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=2 | X: DRobot_exp_all1995 | IV: Z_DRobot_exp_all1995 | Group: depvars_dif"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_all1995",="0.008***",="-0.026***",="-0.023***"
="",="(0.002)",="(0.006)",="(0.007)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="14.935",="14.935",="14.935"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=2 | X: DRobot_exp_all1995 | IV: Z_DRobot_exp_all1995 | Group: depvars_longdif"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_all1995",="0.008***",="-0.012***",="-0.010***"
="",="(0.002)",="(0.003)",="(0.003)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="14.935",="14.935",="14.935"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=3 | X: DRobot_exp_u_all1995 | IV: SG_DRobot_exp_u_all1995 | Group: depvars"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_u_all1995",="0.013***",="0.000",="0.004"
="",="(0.003)",="(0.006)",="(0.006)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="14.339",="14.339",="14.339"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=3 | X: DRobot_exp_u_all1995 | IV: SG_DRobot_exp_u_all1995 | Group: depvars_dif"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_u_all1995",="0.025***",="-0.056***",="-0.047***"
="",="(0.005)",="(0.014)",="(0.014)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="14.339",="14.339",="14.339"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=3 | X: DRobot_exp_u_all1995 | IV: SG_DRobot_exp_u_all1995 | Group: depvars_longdif"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_u_all1995",="0.013***",="0.000",="0.004"
="",="(0.003)",="(0.006)",="(0.006)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="14.339",="14.339",="14.339"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=4 | X: DRobot_exp_u_all1995 | IV: Z_DRobot_exp_u_all1995 | Group: depvars"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_u_all1995",="0.010***",="-0.019***",="-0.015***"
="",="(0.002)",="(0.005)",="(0.005)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="12.220",="12.220",="12.220"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=4 | X: DRobot_exp_u_all1995 | IV: Z_DRobot_exp_u_all1995 | Group: depvars_dif"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_u_all1995",="0.006***",="-0.030***",="-0.026***"
="",="(0.002)",="(0.007)",="(0.009)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="12.220",="12.220",="12.220"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="2nd Stage | i=4 | X: DRobot_exp_u_all1995 | IV: Z_DRobot_exp_u_all1995 | Group: depvars_longdif"

="",="(1)",="(2)",="(3)"
="",="Turnout",="Conserv1_p",="Conserv2_p"

="DRobot_exp_u_all1995",="0.010***",="-0.019***",="-0.015***"
="",="(0.002)",="(0.005)",="(0.005)"

="N",="678.000",="678.000",="678.000"
="R2 within",="",="",=""
="1st-stage F",="12.220",="12.220",="12.220"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
