Pair1: d_turnout & d_conserv1_p | i=1 | X:DRobot_exp_all1995 | IV:SG_DRobot_exp_all1995,,,,,,,,,,,
,,,,,,,,,,,
,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11
,전체-dv1,전체-dv2,dv2-solid_lib,dv2-solid_con,dv2-competitive,dv2-immi0,dv2-immi,dv2-immi2,dv2-immi3,dv2-수도권,dv2-비수도권
,,,,,,,,,,,
DRobot_exp_all1995,0.018***,-0.040***,-0.004*,-0.008,-0.038***,-0.031***,-0.051***,-0.032**,-0.020**,-0.019*,-0.027**
,(0.003),(0.010),(0.002),(0.007),(0.011),(0.010),(0.012),(0.014),(0.009),(0.010),(0.012)
,,,,,,,,,,,
N,678.000,678.000,123.000,153.000,402.000,339.000,339.000,339.000,339.000,198.000,480.000
R2 within,,,,,,,,,,,
1st-stage F,19.934,19.934,,,,,,,,,
,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,,,,,,
Pair1: d_turnout & d_conserv1_p | i=2 | X:DRobot_exp_all1995 | IV:Z_DRobot_exp_all1995,,,,,,,,,,,
,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,전체-dv1,전체-dv2,dv2-solid_lib,dv2-solid_con,dv2-competitive,dv2-immi0,dv2-immi,dv2-immi2,dv2-immi3,dv2-수도권,dv2-비수도권
,,,,,,,,,,,
DRobot_exp_all1995,0.008***,-0.026***,-0.003,-0.021***,-0.018***,-0.018***,-0.025***,-0.024*,-0.011**,-0.009*,-0.026**
,(0.002),(0.006),(0.002),(0.005),(0.006),(0.005),(0.007),(0.012),(0.005),(0.005),(0.010)
,,,,,,,,,,,
N,678.000,678.000,123.000,153.000,402.000,339.000,339.000,339.000,339.000,198.000,480.000
R2 within,,,,,,,,,,,
1st-stage F,14.935,14.935,,,,,,,,,
,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,,,,,,
Pair1: d_turnout & d_conserv1_p | i=3 | X:DRobot_exp_u_all1995 | IV:SG_DRobot_exp_u_all1995,,,,,,,,,,,
,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,전체-dv1,전체-dv2,dv2-solid_lib,dv2-solid_con,dv2-competitive,dv2-immi0,dv2-immi,dv2-immi2,dv2-immi3,dv2-수도권,dv2-비수도권
,,,,,,,,,,,
DRobot_exp_u_all1995,0.025***,-0.056***,-0.007**,-0.009,-0.050***,-0.042***,-0.072***,-0.039**,-0.028**,-0.026*,-0.034**
,(0.005),(0.014),(0.003),(0.010),(0.017),(0.013),(0.018),(0.018),(0.012),(0.015),(0.014)
,,,,,,,,,,,
N,678.000,678.000,123.000,153.000,402.000,339.000,339.000,339.000,339.000,198.000,480.000
R2 within,,,,,,,,,,,
1st-stage F,14.339,14.339,,,,,,,,,
,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,,,,,,
Pair1: d_turnout & d_conserv1_p | i=4 | X:DRobot_exp_u_all1995 | IV:Z_DRobot_exp_u_all1995,,,,,,,,,,,
,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,전체-dv1,전체-dv2,dv2-solid_lib,dv2-solid_con,dv2-competitive,dv2-immi0,dv2-immi,dv2-immi2,dv2-immi3,dv2-수도권,dv2-비수도권
,,,,,,,,,,,
DRobot_exp_u_all1995,0.006***,-0.030***,-0.005,-0.027***,-0.018***,-0.019***,-0.028***,-0.027*,-0.012**,-0.011**,-0.030**
,(0.002),(0.007),(0.003),(0.006),(0.006),(0.006),(0.008),(0.015),(0.006),(0.005),(0.012)
,,,,,,,,,,,
N,678.000,678.000,123.000,153.000,402.000,339.000,339.000,339.000,339.000,198.000,480.000
R2 within,,,,,,,,,,,
1st-stage F,12.220,12.220,,,,,,,,,
,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,,,,,,
Pair2: d_turnout & d_conserv2_p | i=1 | X:DRobot_exp_all1995 | IV:SG_DRobot_exp_all1995,,,,,,,,,,,
,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,전체-dv1,전체-dv2,dv2-solid_lib,dv2-solid_con,dv2-competitive,dv2-immi0,dv2-immi,dv2-immi2,dv2-immi3,dv2-수도권,dv2-비수도권
,,,,,,,,,,,
DRobot_exp_all1995,0.018***,-0.032***,-0.000,-0.023***,-0.005,-0.025***,-0.041***,-0.033**,-0.013,-0.008,-0.027*
,(0.003),(0.010),(0.003),(0.007),(0.008),(0.010),(0.012),(0.015),(0.009),(0.008),(0.014)
,,,,,,,,,,,
N,678.000,678.000,123.000,102.000,453.000,339.000,339.000,339.000,339.000,198.000,480.000
R2 within,,,,,,,,,,,
1st-stage F,19.934,19.934,,,,,,,,,
,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,,,,,,
Pair2: d_turnout & d_conserv2_p | i=2 | X:DRobot_exp_all1995 | IV:Z_DRobot_exp_all1995,,,,,,,,,,,
,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,전체-dv1,전체-dv2,dv2-solid_lib,dv2-solid_con,dv2-competitive,dv2-immi0,dv2-immi,dv2-immi2,dv2-immi3,dv2-수도권,dv2-비수도권
,,,,,,,,,,,
DRobot_exp_all1995,0.008***,-0.023***,0.001,-0.024***,-0.003,-0.016**,-0.021**,-0.023,-0.008,-0.000,-0.027**
,(0.002),(0.007),(0.002),(0.007),(0.003),(0.007),(0.009),(0.015),(0.006),(0.003),(0.013)
,,,,,,,,,,,
N,678.000,678.000,123.000,102.000,453.000,339.000,339.000,339.000,339.000,198.000,480.000
R2 within,,,,,,,,,,,
1st-stage F,14.935,14.935,,,,,,,,,
,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,,,,,,
Pair2: d_turnout & d_conserv2_p | i=3 | X:DRobot_exp_u_all1995 | IV:SG_DRobot_exp_u_all1995,,,,,,,,,,,
,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,전체-dv1,전체-dv2,dv2-solid_lib,dv2-solid_con,dv2-competitive,dv2-immi0,dv2-immi,dv2-immi2,dv2-immi3,dv2-수도권,dv2-비수도권
,,,,,,,,,,,
DRobot_exp_u_all1995,0.025***,-0.047***,-0.001,-0.028***,-0.005,-0.034***,-0.058***,-0.045**,-0.018,-0.010,-0.037**
,(0.005),(0.014),(0.005),(0.009),(0.011),(0.013),(0.018),(0.021),(0.012),(0.011),(0.018)
,,,,,,,,,,,
N,678.000,678.000,123.000,102.000,453.000,339.000,339.000,339.000,339.000,198.000,480.000
R2 within,,,,,,,,,,,
1st-stage F,14.339,14.339,,,,,,,,,
,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,,,,,,
Pair2: d_turnout & d_conserv2_p | i=4 | X:DRobot_exp_u_all1995 | IV:Z_DRobot_exp_u_all1995,,,,,,,,,,,
,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,전체-dv1,전체-dv2,dv2-solid_lib,dv2-solid_con,dv2-competitive,dv2-immi0,dv2-immi,dv2-immi2,dv2-immi3,dv2-수도권,dv2-비수도권
,,,,,,,,,,,
DRobot_exp_u_all1995,0.006***,-0.026***,0.000,-0.029***,-0.002,-0.017**,-0.022**,-0.026,-0.008,0.001,-0.032*
,(0.002),(0.009),(0.004),(0.009),(0.004),(0.008),(0.011),(0.019),(0.007),(0.003),(0.017)
,,,,,,,,,,,
N,678.000,678.000,123.000,102.000,453.000,339.000,339.000,339.000,339.000,198.000,480.000
R2 within,,,,,,,,,,,
1st-stage F,12.220,12.220,,,,,,,,,
,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,,,,,,
Pair3: turnout & conserv1_p | i=1 | X:DRobot_exp_all1995 | IV:SG_DRobot_exp_all1995,,,,,,,,,,,
,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,전체-dv1,전체-dv2,dv2-solid_lib,dv2-solid_con,dv2-competitive,dv2-immi0,dv2-immi,dv2-immi2,dv2-immi3,dv2-수도권,dv2-비수도권
,,,,,,,,,,,
DRobot_exp_all1995,0.009***,0.001,-0.005*,0.002,-0.005,0.005,0.001,-0.001,0.006*,-0.006,-0.002
,(0.002),(0.004),(0.003),(0.005),(0.004),(0.003),(0.003),(0.007),(0.003),(0.004),(0.006)
,,,,,,,,,,,
N,678.000,678.000,123.000,153.000,402.000,339.000,339.000,339.000,339.000,198.000,480.000
R2 within,,,,,,,,,,,
1st-stage F,19.934,19.934,,,,,,,,,
,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,,,,,,
Pair3: turnout & conserv1_p | i=2 | X:DRobot_exp_all1995 | IV:Z_DRobot_exp_all1995,,,,,,,,,,,
,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,전체-dv1,전체-dv2,dv2-solid_lib,dv2-solid_con,dv2-competitive,dv2-immi0,dv2-immi,dv2-immi2,dv2-immi3,dv2-수도권,dv2-비수도권
,,,,,,,,,,,
DRobot_exp_all1995,0.008***,-0.012***,-0.004,-0.011***,-0.007**,-0.007**,-0.012***,-0.011**,-0.003,-0.003,-0.012***
,(0.002),(0.003),(0.003),(0.003),(0.003),(0.003),(0.004),(0.006),(0.003),(0.004),(0.005)
,,,,,,,,,,,
N,678.000,678.000,123.000,153.000,402.000,339.000,339.000,339.000,339.000,198.000,480.000
R2 within,,,,,,,,,,,
1st-stage F,14.935,14.935,,,,,,,,,
,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,,,,,,
Pair3: turnout & conserv1_p | i=3 | X:DRobot_exp_u_all1995 | IV:SG_DRobot_exp_u_all1995,,,,,,,,,,,
,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,전체-dv1,전체-dv2,dv2-solid_lib,dv2-solid_con,dv2-competitive,dv2-immi0,dv2-immi,dv2-immi2,dv2-immi3,dv2-수도권,dv2-비수도권
,,,,,,,,,,,
DRobot_exp_u_all1995,0.013***,0.000,-0.008**,0.002,-0.008,0.007,0.002,-0.002,0.009*,-0.007,-0.003
,(0.003),(0.006),(0.003),(0.007),(0.006),(0.005),(0.005),(0.010),(0.005),(0.006),(0.009)
,,,,,,,,,,,
N,678.000,678.000,123.000,153.000,402.000,339.000,339.000,339.000,339.000,198.000,480.000
R2 within,,,,,,,,,,,
1st-stage F,14.339,14.339,,,,,,,,,
,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,,,,,,,
Pair3: turnout & conserv1_p | i=4 | X:DRobot_exp_u_all1995 | IV:Z_DRobot_exp_u_all1995,,,,,,,,,,,
,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
