="",="Heterogeneity",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="Bartik X SD (empbase=2005)",="-0.013**",="0.023*",="-0.046",="0.087"
="",="(0.006)",="(0.012)",="(0.036)",="(0.062)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.020",="0.115",="-0.027",="0.178"
="",="(0.045)",="(0.101)",="(0.085)",="(0.155)"
="year==2012",="0.024*",="-0.207***",="0.006",="-0.170**"
="",="(0.015)",="(0.030)",="(0.043)",="(0.081)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="-0.065",="1.339",="-0.373",="1.451"
="",="(0.505)",="(1.136)",="(0.667)",="(1.269)"
="share of college-educated",="-0.696***",="3.470***",="-0.689",="3.143***"
="",="(0.201)",="(0.469)",="(0.452)",="(0.798)"
="N",="339",="339",="339",="339"
="r2",="0.403",="0.510",="-6.873",="-5.166"
="cdf",="6.340",="6.340",="0.403",="0.403"
="widstat",="7.500",="7.500",="1.514",="1.514"
="arf",="29.935",="9.529",="11.301",="14.526"
="arfp",="0.000",="0.003",="0.001",="0.000"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="",="Heterogeneity",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="Bartik X SD (empbase=2005)",="-0.013**",="0.026**",="-0.066",="0.169"
="",="(0.005)",="(0.012)",="(0.089)",="(0.212)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.063*",="0.014",="-0.024",="0.213"
="",="(0.032)",="(0.079)",="(0.111)",="(0.268)"
="year==2012",="0.055**",="-0.296***",="-0.027",="-0.106**"
="",="(0.028)",="(0.057)",="(0.021)",="(0.052)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="0.412",="0.187",="-0.302",="1.423"
="",="(0.348)",="(0.871)",="(0.762)",="(1.830)"
="share of college-educated",="-0.249",="2.040***",="-0.498",="2.815***"
="",="(0.291)",="(0.616)",="(0.476)",="(0.983)"
="N",="339",="339",="339",="339"
="r2",="0.008",="-0.032",="-0.514",="-0.681"
="cdf",="4.508",="4.508",="2.002",="2.002"
="widstat",="9.260",="9.260",="0.496",="0.496"
="arf",="30.544",="14.202",="8.090",="7.362"
="arfp",="0.000",="0.000",="0.005",="0.008"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
