="",="Main2",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="Bartik X SD (empbase=2005)",="-0.014***",="0.026***",="-0.009***",="0.014**"
="",="(0.005)",="(0.010)",="(0.003)",="(0.006)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.019",="0.109*",="0.067***",="0.015"
="",="(0.030)",="(0.066)",="(0.025)",="(0.061)"
="year==2012",="0.004",="-0.168***",="0.015",="-0.207***"
="",="(0.011)",="(0.023)",="(0.010)",="(0.022)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="-0.094",="1.178",="-0.039",="0.822"
="",="(0.319)",="(0.720)",="(0.254)",="(0.577)"
="share of college-educated",="-0.727***",="3.406***",="-0.441***",="3.349***"
="",="(0.176)",="(0.362)",="(0.158)",="(0.449)"
="N",="678",="678",="402",="402"
="r2",="0.140",="0.269",="0.635",="0.769"
="cdf",="9.218",="9.218",="7.022",="7.022"
="widstat",="12.401",="12.401",="18.905",="18.905"
="arf",="46.770",="22.393",="22.078",="8.708"
="arfp",="0.000",="0.000",="0.000",="0.004"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
