="",="Heterogeneity",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="Bartik X SD (manufacturing, empbase=2005)",="-0.013**",="0.021**",="-0.045",="0.084"
="",="(0.005)",="(0.011)",="(0.033)",="(0.058)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.040",="0.063",="-0.015",="0.155"
="",="(0.043)",="(0.099)",="(0.073)",="(0.134)"
="year==2012",="0.034**",="-0.232***",="0.014",="-0.187**"
="",="(0.017)",="(0.037)",="(0.045)",="(0.082)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="-0.138",="1.446",="-0.381",="1.471"
="",="(0.440)",="(0.976)",="(0.640)",="(1.221)"
="share of college-educated",="-0.341",="2.587***",="-0.690",="3.144***"
="",="(0.321)",="(0.797)",="(0.443)",="(0.783)"
="N",="342",="342",="339",="339"
="r2",="0.417",="0.521",="-6.320",="-4.783"
="cdf",="7.383",="7.383",="0.443",="0.443"
="widstat",="8.767",="8.767",="1.607",="1.607"
="arf",="29.399",="10.015",="11.312",="14.563"
="arfp",="0.000",="0.002",="0.001",="0.000"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="",="Heterogeneity",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="Bartik X SD (manufacturing, empbase=2005)",="-0.014**",="0.027**",="-0.063",="0.162"
="",="(0.005)",="(0.012)",="(0.080)",="(0.191)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.082**",="-0.037",="-0.000",="0.152"
="",="(0.034)",="(0.086)",="(0.076)",="(0.185)"
="year==2012",="0.071**",="-0.333***",="-0.009",="-0.152**"
="",="(0.031)",="(0.067)",="(0.026)",="(0.061)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="0.380",="0.124",="-0.267",="1.340"
="",="(0.325)",="(0.812)",="(0.687)",="(1.655)"
="share of college-educated",="0.166",="1.084",="-0.460",="2.714***"
="",="(0.406)",="(0.926)",="(0.491)",="(1.018)"
="N",="342",="342",="339",="339"
="r2",="-0.089",="-0.092",="-0.379",="-0.541"
="cdf",="5.094",="5.094",="2.252",="2.252"
="widstat",="10.380",="10.380",="0.547",="0.547"
="arf",="29.898",="16.732",="8.082",="7.326"
="arfp",="0.000",="0.000",="0.005",="0.008"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
