="",="Panel A: OLS",=""
="",="(1)",="(2)"
="",="Turnout",="Conservatism"
="Bartik X SD (empbase=2005)",="-0.001***",="-0.001***"
="",="(0.000)",="(0.000)"
="Constant",="0.050***",="-0.033***"
="",="(0.001)",="(0.003)"
="Observations",="681",="681"
="R-squared",="0.025",="0.007"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="",="Panel B: Fixed Effects",=""
="",="(1)",="(2)"
="",="SD turnout (전구간: 9297/9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9297/9702/0207/0712/1217/1722)"
="year==1997",="0.000",="0.000"
="",="(.)",="(.)"
="year==2002",="0.000",="0.000"
="",="(.)",="(.)"
="year==2007",="0.095***",="-0.207***"
="",="(0.004)",="(0.009)"
="year==2012",="-0.002",="-0.237***"
="",="(0.003)",="(0.006)"
="year==2017",="0.000",="0.000"
="",="(.)",="(.)"
="year==2022",="0.000",="0.000"
="",="(.)",="(.)"
="Bartik X SD (empbase=2005)",="-0.001**",="-0.001"
="",="(0.000)",="(0.000)"
="N",="681",="681"
="r2",="0.786",="0.762"
="cdf",="",=""
="widstat",="",=""
="arf",="",=""
="arfp",="",=""
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="",="Panel C: FE-IV",=""
="",="(1)",="(2)"
="",="SD turnout (전구간: 9297/9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9297/9702/0207/0712/1217/1722)"
="Bartik X SD (empbase=2005)",="-0.014***",="0.023***"
="",="(0.003)",="(0.007)"
="year==1997",="0.000",="0.000"
="",="(.)",="(.)"
="year==2002",="0.000",="0.000"
="",="(.)",="(.)"
="year==2007",="0.066***",="-0.154***"
="",="(0.008)",="(0.018)"
="year==2012",="0.027***",="-0.291***"
="",="(0.010)",="(0.019)"
="year==2017",="0.000",="0.000"
="",="(.)",="(.)"
="year==2022",="0.000",="0.000"
="",="(.)",="(.)"
="N",="681",="681"
="r2",="0.140",="0.343"
="cdf",="18.204",="18.204"
="widstat",="25.628",="25.628"
="arf",="72.123",="28.816"
="arfp",="0.000",="0.000"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
