="",="Panel A: OLS",=""
="",="(1)",="(2)"
="",="Turnout",="Conservatism"
="Bartik X SD (manufacturing, empbase=2005)",="-0.001***",="-0.001***"
="",="(0.000)",="(0.000)"
="Constant",="0.050***",="-0.032***"
="",="(0.001)",="(0.003)"
="Observations",="681",="681"
="R-squared",="0.024",="0.008"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="",="Panel B: Fixed Effects",=""
="",="(1)",="(2)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="year==2002",="0.000",="0.000"
="",="(.)",="(.)"
="year==2007",="0.096***",="-0.207***"
="",="(0.004)",="(0.009)"
="year==2012",="-0.002",="-0.237***"
="",="(0.003)",="(0.006)"
="year==2017",="0.000",="0.000"
="",="(.)",="(.)"
="year==2022",="0.000",="0.000"
="",="(.)",="(.)"
="Bartik X SD (manufacturing, empbase=2005)",="-0.001**",="-0.001"
="",="(0.000)",="(0.000)"
="N",="681",="681"
="r2",="0.786",="0.762"
="cdf",="",=""
="widstat",="",=""
="arf",="",=""
="arfp",="",=""
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="",="Panel C: FE-IV",=""
="",="(1)",="(2)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="Bartik X SD (manufacturing, empbase=2005)",="-0.014***",="0.022***"
="",="(0.003)",="(0.007)"
="year==2002",="0.000",="0.000"
="",="(.)",="(.)"
="year==2007",="0.070***",="-0.160***"
="",="(0.007)",="(0.016)"
="year==2012",="0.029***",="-0.294***"
="",="(0.010)",="(0.020)"
="year==2017",="0.000",="0.000"
="",="(.)",="(.)"
="year==2022",="0.000",="0.000"
="",="(.)",="(.)"
="N",="681",="681"
="r2",="0.187",="0.368"
="cdf",="19.613",="19.613"
="widstat",="27.516",="27.516"
="arf",="72.529",="29.170"
="arfp",="0.000",="0.000"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
