="",="Main2",="",="",=""
="",="(1)",="(2)",="(3)",="(4)"
="",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)",="SD turnout (전구간: 9702/0207/0712/1217/1722)",="SD conserv1_p (전구간: 9702/0207/0712/1217/1722)"
="Bartik X SD (manufacturing, empbase=2005)",="-0.014***",="0.025***",="-0.008***",="0.012**"
="",="(0.004)",="(0.009)",="(0.003)",="(0.006)"
="year==2002",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.034",="0.074",="0.084***",="-0.032"
="",="(0.028)",="(0.065)",="(0.026)",="(0.069)"
="year==2012",="0.011",="-0.185***",="0.023**",="-0.227***"
="",="(0.012)",="(0.026)",="(0.011)",="(0.027)"
="year==2017",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="-0.138",="1.249*",="-0.078",="1.000*"
="",="(0.290)",="(0.649)",="(0.231)",="(0.532)"
="share of college-educated",="-0.496**",="2.833***",="-0.181",="2.540***"
="",="(0.250)",="(0.587)",="(0.245)",="(0.739)"
="N",="681",="681",="405",="405"
="r2",="0.188",="0.309",="0.662",="0.777"
="cdf",="10.465",="10.465",="7.945",="7.945"
="widstat",="13.958",="13.958",="20.904",="20.904"
="arf",="48.625",="23.288",="19.871",="7.147"
="arfp",="0.000",="0.000",="0.000",="0.008"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
