="",="Robustness_additional",="",="",="",="",=""
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="(1)",="(2)",="(3)",="(4)",="m5",="m6"
="Bartik X SD (empbase=2005)",="-0.016***",="0.023**",="-0.016***",="0.021*",="-0.016***",="0.019*"
="",="(0.006)",="(0.011)",="(0.006)",="(0.011)",="(0.006)",="(0.011)"
="year==2002",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.039",="0.053",="0.036",="0.079",="0.037",="0.075"
="",="(0.032)",="(0.067)",="(0.026)",="(0.055)",="(0.026)",="(0.053)"
="year==2012",="0.018",="-0.186***",="0.022",="-0.183***",="0.022",="-0.180***"
="",="(0.014)",="(0.028)",="(0.017)",="(0.026)",="(0.016)",="(0.024)"
="year==2017",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="-0.210",="1.214*",="-0.225",="1.276**",="-0.219",="1.120*"
="",="(0.336)",="(0.664)",="(0.301)",="(0.606)",="(0.319)",="(0.609)"
="share of college-educated",="-0.410",="2.602***",="-0.397",="2.273***",="-0.402",="2.422***"
="",="(0.267)",="(0.624)",="(0.284)",="(0.651)",="(0.259)",="(0.515)"
="Foreign resident share (immi0/pop)",="0.572***",="-0.697",="0.578***",="-0.835**",="0.576***",="-0.798**"
="",="(0.218)",="(0.456)",="(0.211)",="(0.414)",="(0.212)",="(0.398)"
="manu_share",="0.050",="-0.332**",="0.047",="-0.309**",="0.047",="-0.312**"
="",="(0.074)",="(0.153)",="(0.072)",="(0.141)",="(0.072)",="(0.136)"
="Pretrend SD_turnout for SD (prev cohort SD)",="",="",="-0.034",="",="-0.033",=""
="",="",="",="(0.134)",="",="(0.130)",=""
="Pretrend SD_conserv1_p for SD (prev cohort SD)",="",="",="",="-0.187*",="",="-0.180**"
="",="",="",="",="(0.103)",="",="(0.091)"
="migra_share",="",="",="",="",="0.017",="-0.470"
="",="",="",="",="",="(0.246)",="(0.422)"
="N",="681",="681",="681",="681",="681",="681"
="r2",="-0.042",="0.372",="-0.055",="0.470",="-0.049",="0.514"
="cdf",="8.423",="8.423",="9.827",="7.253",="9.318",="6.820"
="widstat",="9.400",="9.400",="10.319",="8.263",="9.470",="7.333"
="arf",="41.841",="15.817",="48.981",="13.067",="46.363",="11.782"
="arfp",="0.000",="0.000",="0.000",="0.000",="0.000",="0.001"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
