="",="Robustness_additional",="",="",="",="",=""
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="(1)",="(2)",="(3)",="(4)",="m5",="m6"
="Bartik X SD (manufacturing, empbase=2005)",="-0.015***",="0.023**",="-0.016***",="0.020*",="-0.016***",="0.019*"
="",="(0.006)",="(0.011)",="(0.005)",="(0.011)",="(0.005)",="(0.010)"
="year==2002",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2007",="0.043",="0.047",="0.040",="0.074",="0.040",="0.071"
="",="(0.030)",="(0.064)",="(0.024)",="(0.052)",="(0.025)",="(0.050)"
="year==2012",="0.020",="-0.189***",="0.025",="-0.186***",="0.025",="-0.183***"
="",="(0.014)",="(0.028)",="(0.016)",="(0.026)",="(0.016)",="(0.025)"
="year==2017",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2022",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="share of population aged 65 and above",="-0.214",="1.226*",="-0.233",="1.286**",="-0.227",="1.128*"
="",="(0.330)",="(0.657)",="(0.297)",="(0.600)",="(0.315)",="(0.603)"
="share of college-educated",="-0.412",="2.606***",="-0.395",="2.274***",="-0.401",="2.423***"
="",="(0.265)",="(0.621)",="(0.280)",="(0.647)",="(0.254)",="(0.512)"
="Foreign resident share (immi0/pop)",="0.589***",="-0.724",="0.597***",="-0.860**",="0.596***",="-0.822**"
="",="(0.218)",="(0.458)",="(0.211)",="(0.416)",="(0.212)",="(0.400)"
="manu_share",="0.045",="-0.323**",="0.041",="-0.302**",="0.041",="-0.304**"
="",="(0.074)",="(0.153)",="(0.072)",="(0.141)",="(0.071)",="(0.136)"
="Pretrend SD_turnout for SD (prev cohort SD)",="",="",="-0.044",="",="-0.043",=""
="",="",="",="(0.129)",="",="(0.125)",=""
="Pretrend SD_conserv1_p for SD (prev cohort SD)",="",="",="",="-0.189*",="",="-0.181**"
="",="",="",="",="(0.101)",="",="(0.089)"
="migra_share",="",="",="",="",="0.019",="-0.475"
="",="",="",="",="",="(0.241)",="(0.416)"
="N",="681",="681",="681",="681",="681",="681"
="r2",="0.003",="0.389",="-0.013",="0.485",="-0.007",="0.528"
="cdf",="8.931",="8.931",="10.384",="7.705",="9.852",="7.256"
="widstat",="9.906",="9.906",="10.844",="8.710",="9.947",="7.733"
="arf",="42.040",="16.066",="49.142",="13.255",="46.523",="11.939"
="arfp",="0.000",="0.000",="0.000",="0.000",="0.000",="0.001"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
